0	0	-nan	0
1	0	-nan	0
1	1	-nan	-nan
2	0	-nan	0
2	1	-nan	-nan
2	2	-nan	-nan
3	0	-nan	0
3	1	-nan	-nan
3	2	-nan	-nan
3	3	-nan	-nan
4	0	-nan	0
4	1	-nan	-nan
4	2	-nan	-nan
4	3	-nan	-nan
4	4	-nan	-nan
5	0	-nan	0
5	1	-nan	-nan
5	2	-nan	-nan
5	3	-nan	-nan
5	4	-nan	-nan
5	5	-nan	-nan
6	0	-nan	0
6	1	-nan	-nan
6	2	-nan	-nan
6	3	-nan	-nan
6	4	-nan	-nan
6	5	-nan	-nan
6	6	-nan	-nan
7	0	-nan	0
7	1	-nan	-nan
7	2	-nan	-nan
7	3	-nan	-nan
7	4	-nan	-nan
7	5	-nan	-nan
7	6	-nan	-nan
7	7	-nan	-nan
8	0	-nan	0
8	1	-nan	-nan
8	2	-nan	-nan
8	3	-nan	-nan
8	4	-nan	-nan
8	5	-nan	-nan
8	6	-nan	-nan
8	7	-nan	-nan
8	8	-nan	-nan
9	0	-nan	0
9	1	-nan	-nan
9	2	-nan	-nan
9	3	-nan	-nan
9	4	-nan	-nan
9	5	-nan	-nan
9	6	-nan	-nan
9	7	-nan	-nan
9	8	-nan	-nan
9	9	-nan	-nan
10	0	-nan	0
10	1	-nan	-nan
10	2	-nan	-nan
10	3	-nan	-nan
10	4	-nan	-nan
10	5	-nan	-nan
10	6	-nan	-nan
10	7	-nan	-nan
10	8	-nan	-nan
10	9	-nan	-nan
10	10	-nan	-nan
11	0	-nan	0
11	1	-nan	-nan
11	2	-nan	-nan
11	3	-nan	-nan
11	4	-nan	-nan
11	5	-nan	-nan
11	6	-nan	-nan
11	7	-nan	-nan
11	8	-nan	-nan
11	9	-nan	-nan
11	10	-nan	-nan
11	11	-nan	-nan
12	0	-nan	0
12	1	-nan	-nan
12	2	-nan	-nan
12	3	-nan	-nan
12	4	-nan	-nan
12	5	-nan	-nan
12	6	-nan	-nan
12	7	-nan	-nan
12	8	-nan	-nan
12	9	-nan	-nan
12	10	-nan	-nan
12	11	-nan	-nan
12	12	-nan	-nan
13	0	-nan	0
13	1	-nan	-nan
13	2	-nan	-nan
13	3	-nan	-nan
13	4	-nan	-nan
13	5	-nan	-nan
13	6	-nan	-nan
13	7	-nan	-nan
13	8	-nan	-nan
13	9	-nan	-nan
13	10	-nan	-nan
13	11	-nan	-nan
13	12	-nan	-nan
13	13	-nan	-nan
14	0	-nan	0
14	1	-nan	-nan
14	2	-nan	-nan
14	3	-nan	-nan
14	4	-nan	-nan
14	5	-nan	-nan
14	6	-nan	-nan
14	7	-nan	-nan
14	8	-nan	-nan
14	9	-nan	-nan
14	10	-nan	-nan
14	11	-nan	-nan
14	12	-nan	-nan
14	13	-nan	-nan
14	14	-nan	-nan
15	0	-nan	0
15	1	-nan	-nan
15	2	-nan	-nan
15	3	-nan	-nan
15	4	-nan	-nan
15	5	-nan	-nan
15	6	-nan	-nan
15	7	-nan	-nan
15	8	-nan	-nan
15	9	-nan	-nan
15	10	-nan	-nan
15	11	-nan	-nan
15	12	-nan	-nan
15	13	-nan	-nan
15	14	-nan	-nan
15	15	-nan	-nan
